image,question,answer
image2594,Does silver stain demonstrate cup-shaped and round cysts within the exudate?,yes
image2594,Does congo red staining stain demonstrate cup-shaped and round cysts within the exudate?,no
image2595,Is the epithelium above the intact basement membrane delineated from the residual normocellular gland on the upper right in this low-power view?,no
image2595,Is a solitary hypercellular adenoma delineated from the residual normocellular gland on the upper right in this low-power view?,yes
image2596,"Do liver cells include sclerosed glomeruli, tubular atrophy and fine interstitial fibrosis?",no
image2596,"Do the parenchymal changes include sclerosed glomeruli, tubular atrophy and fine interstitial fibrosis?",yes
image2596,Are congo red staining hyaline arteriolosclerosis and intimal thickening of small blood vessels in the glomerular tuft?,no
image2596,Are the vascular changes hyaline arteriolosclerosis and intimal thickening of small blood vessels in the glomerular tuft?,yes
image2597,Does the tumour show admixture of spindle-shaped pleomorphic cells forming storiform pattern and histiocyte-like round to oval cells?,yes
image2597,What shows admixture of spindle-shaped pleomorphic cells forming storiform pattern and histiocyte-like round to oval cells?,tumour
image2597,Does Ziehl-Neelsen show admixture of spindle-shaped pleomorphic cells forming storiform pattern and histiocyte-like round to oval cells?,no
image2598,Are defects in any of the six well-differentiated adenocarcinoma showing closely packed glands with cytologic atypia?,no
image2598,Is the most common histologic pattern well-differentiated adenocarcinoma showing closely packed glands with cytologic atypia?,yes
image2599,Is carcinomatous tissue seen on the posterior aspect (lower left)?,yes
image2599,Is higher-power photomicrograph seen on the posterior aspect (lower left)?,no
image2600,Does the lesions show an outpouching which on section is seen communicating with the intestinal lumen?,no
image2600,Does the lumen contain necrotic debris?,yes
image2600,Does the centres of whorls of smooth muscle and connective tissue contain necrotic debris?,no
image2600,What contains necrotic debris?,lumen
image2601,"Did microscopic appearance of medulloblastoma show mostly small,  blue,  primitive-appearing tumor cells?",yes
image2601,What did the microscopic appearance of medulloblastoma show?,small
image2601,"Did a wide-eyed,  staring gaze,  caused by overactivity of the sympathetic nervous system,  show mostly small,  blue,  primitive-appearing tumor cells?",no
image2602,Are the lipofuscin pigment granules also included?,no
image2602,Are areas of necrosis and inflammatory infiltrate also included?,yes
image2602,Does the cytoplasm show PAS positive tumour cells in perivascular location?,no
image2602,Does Inbox in the right photomicrograph show PAS positive tumour cells in perivascular location?,yes
image2602,Are characteristic microscopic features irregular lobules of uniform small tumour cells with indistinct cytoplasmic outlines which are separated by fibrous tissue septa having rich vascularity?,yes
image2603,Does high-power detail show minimal variation in nuclear size and occasional follicle formation?,yes
image2603,Does the granulomatous response show minimal variation in nuclear size and occasional follicle formation?,no
image2604,Are the alveoli filled with a characteristic foamy acellular exudate?,yes
image2604,Are the pattern of staining of anti-centromere antibodies filled with a characteristic foamy acellular exudate?,no
image2605,Does advanced organizing pneumonia  feature transformation of exudates to fibromyxoid masses infiltrated by macrophages and fibroblasts?,yes
image2606,Is the necrotic ulcer base composed of granulation tissue overlaid by degraded blood?,yes
image2606,Is reversible injury composed of granulation tissue overlaid by degraded blood?,no
image2607,Are intraepithelial and lamina propria neutrophils prominent?,yes
image2607,Are histologic appearance in active takayasu aortitis illustrating destruction and fibrosis of the arterial media prominent?,no
image2608,"Infiltration of the surface epithelium by T lymphocytes , which can be recognized by whose stained nuclei labeled T ?",their
image2609,Does a Masson trichrome preparation show complete replacement of virtually all glomeruli by blue-staining collagen?,yes
image2609,Does there show complete replacement of virtually all glomeruli by blue-staining collagen?,no
image2610,What are present in the putamen and thalamus?,abscesses
image2610,Are abscesses present in the putamen and thalamus?,yes
image2610,Are the upper parts of both lungs present in the putamen and thalamus?,no
image2611,Are metastatic lesions distinguished grossly from most primary central nervous system tumors by their multicentricity and well-demarcated margins?,yes
image2611,Are congenital capillary hemangioma at 2 years of age after the lesion distinguished grossly from most primary central nervous system tumors by their multicentricity and well-demarcated margins?,no
image2611,Is the dark color of the tumor nodules in this specimen due to the presence of melanin?,yes
image2611,Is abscesses due to the presence of melanin?,no
image2611,Metastatic lesions are distinguished grossly from most primary central nervous system tumors by whose multicentricity and well-demarcated margins ?,their
image2612,Does the circle shown with red line contain progressively less rna and more haemoglobin?,no
image2612,Does the cytoplasm contain progressively less rna and more haemoglobin?,yes
image2612,Is there progressive condensation of the nuclear chromatin which is eventually extruded from the cell at the late erythroblast stage?,yes
image2613,"Does pbf show crescent shaped elongated red blood cells, a few target cells and a few erythroblasts?",yes
image2613,"Does the peripheral zone show crescent shaped elongated red blood cells, a few target cells and a few erythroblasts?",no
image2613,"What shows crescent shaped elongated red blood cells, a few target cells and a few erythroblasts?",pbf
image2614,Does the upper pole of the kidney show a large and tan mass while rest of the kidney has reniform contour?,yes
image2614,Does mucicarmine show a large and tan mass while rest of the kidney has reniform contour?,no
image2614,How does sectioned surface show?,irregular
image2614,"Does the margin of the colony show irregular, circumscribed, yellowish mass with areas of haemorrhages and necrosis?",no
image2614,Does rest of the kidney have reniform contour?,yes
image2614,"Does sectioned surface show irregular, circumscribed, yellowish mass with areas of haemorrhages and necrosis?",yes
image2614,Does their lumina have reniform contour?,no
image2615,Are trophozoites of entamoeba histolytica included thick-walled?,no
image2615,Are the blood vessels included are thick-walled?,yes
image2615,Do the external surface of small intestine show periglomerular fibrosis?,no
image2615,Do the glomeruli show periglomerular fibrosis?,yes
image2615,What show periglomerular fibrosis?,glomeruli
image2615,Are the capillary walls surrounded by abundant fibrous tissue and chronic interstitial inflammatory reaction?,no
image2615,What are surrounded by abundant fibrous tissue and chronic interstitial inflammatory reaction?,tubules
image2615,Does the scarred area show atrophy of some tubules and dilatation of others which contain colloid casts thyroidisation?,yes
image2615,Does the wedge-shaped infarct show atrophy of some tubules and dilatation of others which contain colloid casts thyroidisation?,no
image2615,Are the tubules surrounded by abundant fibrous tissue and chronic interstitial inflammatory reaction?,yes
image2616,Is the atrium highlighted in this Warthin-Starry silver stain?,no
image2616,What are abundant within surface mucus?,organisms
image2616,Are organisms abundant within surface mucus?,yes
image2616,Are iron deposits shown by a special staining process abundant within surface mucus?,no
image2616,Are spiral-shaped Helicobacter pylori bacilli highlighted in this Warthin-Starry silver stain?,yes
image2617,"Are 3 components: ghon 's focus, lined by cuboidal to tall columnar and mucin-secreting tumour cells with papillary growth pattern?",no
image2617,Are the alveolar walls lined by cuboidal to tall columnar and mucin-secreting tumour cells with papillary growth pattern?,yes
image2618,Are the alveoli and respiratory bronchioles surrounding the coal macule distended?,yes
image2618,Are coal macules composed of aggregates of dust-laden macrophages and collagens seen surrounding respiratory bronchioles?,yes
image2618,Are the chambers distended?,no
image2618,Are particles at the end of the smear seen surrounding respiratory bronchioles?,no
image2619,What are large parts of the lung parenchyma replaced by?,multiple
image2619,"Are large parts of the lung parenchyma replaced by multiple, variable-sized, circumscribed nodular masses which are grey-white in colour?",yes
image2620,"Is there increased fibrosis in the red pulp, capsule and the trabeculae?",yes
image2620,"Is the necrosed area on right side of the field increased fibrosis in the red pulp, capsule and the trabeculae?",no
image2620,Is gamna-gandy body also seen?,yes
image2620,Is part of the oesophagus which is normally lined by squamous epithelium also seen?,no
image2620,Are the sinuses dilated and congested?,yes
image2620,Are the nuclei dilated and congested?,no
image2621,Does the masses show circumscribed?,no
image2621,Do collections of histiocytes show circumscribed?,no
image2621,Does lower part of the image show a separate encapsulated gelatinous mass?,yes
image2621,Does Hurthle show a separate encapsulated gelatinous mass?,no
image2621,Is the main mass multilobulated with increased fat while lower part of the image shows a separate encapsulated gelatinous mass?,yes
image2621,Is pidural haematoma multilobulated with increased fat while lower part of the image shows a separate encapsulated gelatinous mass?,no
image2622,Are a few mitotic figures also seen?,yes
image2622,Does the necrotic tissue show a well-differentiated tumour composed of spindle-shaped cells forming interlacing fascicles producing a typical Herring-bone pattern?,no
image2622,Does microscopy show a well-differentiated tumour composed of spindle-shaped cells forming interlacing fascicles producing a typical Herring-bone pattern?,yes
image2622,What does microscopy show?,microscopy
image2622,What shows a well-differentiated tumour composed of spindle-shaped cells forming interlacing fascicles producing a typical Herring-bone pattern?,microscopy
image2623,Do the squamous cells show superficial invasive islands of malignant cells in the subepithelial soft tissues?,no
image2623,Do a few areas show superficial invasive islands of malignant cells in the subepithelial soft tissues?,yes
image2623,"Is there keratosis, irregular stratification, cellular pleomorphism, increased and abnormal mitotic figures and individual cell keratinisation, while a few areas show superficial invasive islands of malignant cells in the subepithelial soft tissues?",yes
image2624,"Did periodic acid-schiff demonstrate sheets of plump,  proliferating spindle cells and slitlike vascular spaces?",no
image2624,"Did histologic view of the nodular stage demonstrate sheets of plump,  proliferating spindle cells and slitlike vascular spaces?",yes
image2625,Are islands of mature cartilage also seen?,yes
image2625,Are etastatic carcinomatous deposits in the also seen?,no
image2625,Does microscopy show characteristic lining of the cyst wall by epidermis and its appendages?,yes
image2625,What shows characteristic lining of the cyst wall by epidermis and its appendages?,microscopy
image2625,Microscopy shows characteristic lining of the cyst wall by epidermis and whose appendages ?,its
image2625,Does mall show characteristic lining of the cyst wall by epidermis and its appendages?,no
image2626,Do the grades of CIN-1 or mild dysplasia show progressive increase in the number of abnormal cells parallel to the increasing severity of grades?,yes
image2626,Is ziehl-neelsen or afb parallel to the increasing severity of grades?,no
image2627,Does granulomatous host response not occur in the absence of appropriate T-cell-mediated immunity?,yes
image2627,Does mycobacterium avium infection in a duodenal biopsy from a patient with AIDS show massive intracellular macrophage infection with acid-fast organisms filamentous and pink in this acid-fast stain preparation?,yes
image2627,Are there inadequate T cells to mount a granulomatous response?,yes
image2627,Does the greenish discoloration not occur in the absence of appropriate T-cell-mediated immunity?,no
image2628,Does the renal glomerulus show markedly thickend glomerular basement membrane in a diabetic?,yes
image2629,"Are the cells large, with round to convoluted nuclei having high n/c ratio and no cytoplasmic granularity?",yes
image2629,"Are iseases large, with round to convoluted nuclei having high n/c ratio and no cytoplasmic granularity?",no
image2630,Is plexiform lesion characteristic of advanced pulmonary hypertension seen in small arteries?,yes
image2630,Is hematoxylin-eosin seen in small arteries?,no
image2631,"Is an intimal patchy myocardial fibrosis, especially around small blood vessels in the interstitium?",no
image2631,"Is there patchy myocardial fibrosis, especially around small blood vessels in the interstitium?",yes
image2632,Is the end of the long bone expanded in the region of epiphysis?,yes
image2632,Is section from margin of amoebic ulcer expanded in the region of epiphysis?,no
image2632,"Does sectioned surface show circumscribed, dark tan, haemorrhagic and necrotic tumour?",yes
image2632,"Does the sectioned surface of rectal wall show circumscribed, dark tan, haemorrhagic and necrotic tumour?",no
image2633,Did collection of microglial cells form a poorly defined nodule?,yes
image2633,Did the cysts form a poorly defined nodule?,no
image2634,Did onsumption of tobacco in india open appendix showing impacted faecolith in the lumen and exudate on the serosa?,no
image2634,Did gross appearance of longitudinally open appendix showing impacted faecolith in the lumen and exudate on the serosa?,yes
image2635,Is subacute endocarditis caused by streptococcus viridans on a previously myxomatous mitral valve?,yes
image2635,Is the transmural light area in the posterolateral left ventricle caused by streptococcus viridans on a previously myxomatous mitral valve?,no
image2636,"Does microscopic appearance of the thickened endocardium,  which contains smooth muscle cells and abundant acid mucopolysaccharides blue-green in this Movat stain?",yes
image2636,Do the white circles stain?,no
image2637,Are the principal cellular alterations that characterize reversible cell injury and necrosis illustrated?,yes
image2637,Are methylation of particular histone residues illustrated?,no
image2637,Is reversible injury considered to culminate in necrosis if the injurious stimulus is not removed by convention?,yes
image2638,Is there marked concentric thickening of the left ventricular wall causing reduction in lumen size?,yes
image2638,Is low-power view of a cross section of a skin blister showing the epidermis marked concentric thickening of the left ventricular wall causing reduction in lumen size?,no
image2638,Is a pacemaker presented incidentally in the right ventricle?,yes
image2638,Is cohesive tumor in retina presented incidentally in the right ventricle?,no
image2638,Are this degree of external dysmorphogenesis left atrium shown on the right in this four-chamber view of the heart?,no
image2638,Are the extensive subcutaneous fibrosis shown on the right in this four-chamber view of the heart?,no
image2638,Is the atrium shown on the right in this four-chamber view of the heart?,yes
image2638,Are the left ventricle and left atrium shown on the right in this four-chamber view of the heart?,yes
image2639,Does part of the endocervical mucosa produce a draining sinus?,no
image2639,"Does the extension of infection into the joint space, epiphysis and the skin produce a draining sinus?",yes
image2639,Does photomicrograph on right under higher magnification begin as a focus of microabscess in a vascular loop in the marrow which expands to stimulate?,no
image2639,Does process begin as a focus of microabscess in a vascular loop in the marrow which expands to stimulate?,yes
image2639,What expands further causing necrosis of the cortex called sequestrum?,abscess
image2639,What begins as a focus of microabscess in a vascular loop in the marrow which expands to stimulate?,process
image2639,Is an asbestos body called involucrum?,no
image2639,Is the formation of viable new reactive bone surrounding the sequestrum called involucrum?,yes
image2639,What is the formation of viable new reactive bone surrounding the sequestrum called?,involucrum
image2639,Do the alveolar walls expand further causing necrosis of the cortex called sequestrum?,no
image2639,What is there of reactive woven bone formation by the periosteum?,beginning
image2639,Is there beginning of reactive woven bone formation by the periosteum?,yes
image2639,Is the cyst wall beginning of reactive woven bone formation by the periosteum?,no
image2639,Does the abscess expand further causing necrosis of the cortex called sequestrum?,yes
image2640,Is the basal layer expanded externally due to a gelatinous tumour?,no
image2640,Is the bone expanded externally due to a gelatinous tumour?,yes
image2640,What is expanded externally due to a gelatinous tumour?,bone
image2640,Does the amputated head of the long bone show lobulated mass with bluish cartilaginous hue infiltrating the soft tissues?,no
image2640,Does sectioned surface show lobulated mass with bluish cartilaginous hue infiltrating the soft tissues?,yes
image2641,Does adp represent cell cycle for permanent cells?,no
image2641,Does the circle shown with red line represent cell cycle for permanent cells?,yes
image2641,Does circle shown with yellow-orange line represent cell cycle for stable cells?,yes
image2641,Does the inner circle shown with green line represent cell cycle for labile cells?,yes
image2641,Does amyloid represent cell cycle for labile cells?,no
image2641,Does the particle represent cell cycle for stable cells?,no
image2642,Are the nucleus lined by normal columnar epithelium while foci of metaplastic squamous epithelium are seen at other places?,no
image2642,Is part of the endocervical mucosa lined by normal columnar epithelium while foci of metaplastic squamous epithelium are seen at other places?,yes
image2642,Are foci of metaplastic squamous epithelium seen at other places?,yes
image2643,There is narrowing of the lumen of coronary due to fully developed atheromatous plaque which has dystrophic calcification in whose core ?,its
image2643,Is there narrowing of the lumen of coronary due to fully developed atheromatous plaque which has dystrophic calcification in its core?,yes
image2643,Is the alveolar septa narrowing of the lumen of coronary due to fully developed atheromatous plaque which has dystrophic calcification in its core?,no
image2644,Is the tissue discernible in this photomicrograph?,no
image2644,Did bilateral adrenal hemorrhage in an infant with overwhelming sepsis result in acute adrenal insufficiency?,yes
image2644,Did haphazard crypt organization result in acute adrenal insufficiency?,no
image2644,Were the adrenal glands grossly hemorrhagic and shrunken at autopsy?,yes
image2644,Is little residual cortical architecture discernible in this photomicrograph?,yes
image2645,Is this more cellular and disorganized than Fig.654?,yes
image2646,Does the smear show presence of numerous arthrospores and hyphae?,no
image2646,Does the stratum corneum around the hair follicle show presence of numerous arthrospores and hyphae?,yes
image2647,Are nodular masses of calcium heaped up within the sinuses of Valsalva?,yes
image2647,Are small nests of epithelial cells and myxoid stroma forming cartilage and bone heaped up within the sinuses of Valsalva?,no
image2647,"Are the commissures not fused,  as in rheumatic aortic valve stenosis?",yes
image2647,"Are note bowing of legs as a consequence of the formation of poorly not fused,  as in rheumatic aortic valve stenosis?",no
image2647,One cusp has a partial fusion at whose center ?,its
image2648,"Did early (reversible) ischemic injury increase eosinophilia of cytoplasm,  and swelling of occasional cells?",no
image2648,"Does early ischemic injury show surface blebs, increase eosinophilia of cytoplasm, and swelling of occasional cells?",yes
image2649,What shows three layers in the wall of hydatid cyst?,microscopy
image2649,Does icroscopy show three layers in the wall of hydatid cyst?,yes
image2649,How many layers does microscopy show?,three
image2649,Does irregular nuclear show three layers in the wall of hydatid cyst?,no
image2649,Does inbox in the right photomicrograph show a scolex with a row of hooklets?,yes
image2649,Does the peripheral zone show a scolex with a row of hooklets?,no
image2650,Does necrosis fuse with the plasma membrane of the host cell?,no
image2650,Are the granuloma released into the cytosol?,no
image2650,Are viral rna genome as well as reverse transcriptase released into the cytosol?,yes
image2650,Does the viral envelope fuse with the plasma membrane of the host cell?,yes
image2651,"Does iron on absorption from upper small intestine show circumscribed, dark tan, haemorrhagic and necrotic tumour?",no
image2651,Is the end of the long bone expanded in the region of epiphysis?,yes
image2651,Is viral dna expanded in the region of epiphysis?,no
image2651,"Does sectioned surface show circumscribed, dark tan, haemorrhagic and necrotic tumour?",yes
image2652,"Does bilayer lipid membrane have inflammatory cell infiltrate, newly formed blood vessels and young fibrous tissue in loose matrix?",no
image2652,"Does ctive granulation tissue have inflammatory cell infiltrate, newly formed blood vessels and young fibrous tissue in loose matrix?",yes
image2653,Does the microscopic view of breast carcinoma illustrate the invasion of breast stroma and fat by nests and cords of tumor cells?,yes
image2653,Does the injurious stimulus illustrate the invasion of breast stroma and fat by nests and cords of tumor cells?,no
image2654,"The particle has core containing proteins, p24 and p18, how many strands of viral rna, and enzyme reverse transcriptase?",two
image2654,"Does the epidermis have core containing proteins, p24 and p18, two strands of viral rna, and enzyme reverse transcriptase?",no
image2654,"Is bilayer lipid membrane studded with 2 viral glycoproteins, gp120 and gp41, in the positions shown?",yes
image2654,"Is the epidermis studded with 2 viral glycoproteins, gp120 and gp41, in the positions shown?",no
image2654,"Does the particle have core containing proteins, p24 and p18, two strands of viral rna, and enzyme reverse transcriptase?",yes
image2654,How many strands does the particle have?,two
image2655,Does thickness and intensity of colour of arrows on left side of figure correspond to extent of metabolic pathway followed ADH = alcohol dehydrogenase ; ALDH or ACDH = hepatic acetaldehyde dehydrogenase ; NAD = nicotinamide adenine dinucleotide ; NADH = r,yes
image2655,Do these nests correspond to extent of metabolic pathway followed ADH = alcohol dehydrogenase ; ALDH or ACDH = hepatic acetaldehyde dehydrogenase ; NAD = nicotinamide adenine dinucleotide ; NADH = reduced NAD?,no
image2656,Are the lesions predominantly seen in lymph nodes and throughout lung parenchyma?,yes
image2656,Are the nuclei predominantly seen in lymph nodes and throughout lung parenchyma?,no
image2657,Is a subnodule infiltrated by chronic inflammatory cells?,no
image2657,Is the gallbladder mucosa infiltrated by chronic inflammatory cells?,yes
image2658,Does the pattern of staining of anti-centromere antibodies show a hyper-segmented neutrophil with a six-lobed nucleus?,no
image2658,Does a peripheral blood smear show a hyper-segmented neutrophil with a six-lobed nucleus?,yes
image2659,"Dose typical tuberculous granuloma show an area of central necrosis surrounded by multiple multinucleate giant cells,  epithelioid cells,  and lymphocytes?",yes
image2659,"Is an area of central necrosis surrounded by multiple multinucleate giant cells,  epithelioid cells,  and lymphocytes?",yes
image2660,Is matted mass of lymph nodes surrounded by increased fat?,yes
image2660,Is chematic representation of mechanisms surrounded by increased fat?,no
image2661,"Is the aneurysmal bone cyst with blood-filled cystic space surrounded by a fibrous wall containing proliferating fibroblasts,  reactive woven bone,  and osteoclast-type giant cells?",yes
image2661,"Is flow cytometry surrounded by a fibrous wall containing proliferating fibroblasts,  reactive woven bone,  and osteoclast-type giant cells?",no
image2662,Are there non-caseating epithelioid cell granulomas which have paucity of lymphocytes?,yes
image2662,Is congo red staining also seen in the photomicrograph?,no
image2662,Is a giant cell with inclusions also seen in the photomicrograph?,yes
image2662,Are a wedge-shaped shrunken area of pale colour non-caseating epithelioid cell granulomas which have paucity of lymphocytes?,no
image2662,What is a giant cell with inclusions seen in?,photomicrograph 
image2663,What has the nucleus clumped?,chromatin
image2663,Has the nucleus clumped chromatin?,yes
image2663,Has the surrounding zone clumped chromatin?,no
image2663,Is the dead cell seen in singles?,yes
image2664,Does gross examination of a resected sigmoid colon show regularly spaced stool-filled diverticulae?,yes
image2664,Does gram show regularly spaced stool-filled diverticulae?,no
image2665,"Does a, the pink acellular amyloid material show tiny firm granular vegetations?",no
image2665,Does the free surface and margin of the mitral valve show tiny firm granular vegetations?,yes
image2665,Are some leucocytes and red cells and a tight meshwork shown as seen from the left ventricular surface?,no
image2665,Are the location of vegetations on mitral valve shown as seen from the left ventricular surface?,yes
image2665,B irregularly scarred mitral valve leaving a fish-mouth or buttonhole opening between whose two cusps black arrow ?,its
image2666,"Are there alternate areas of collapsed and dilated alveolar spaces, many of which are lined by eosinophilic hyaline membranes?",yes
image2666,"Are cross section cs alternate areas of collapsed and dilated alveolar spaces, many of which are lined by eosinophilic hyaline membranes?",no
image2667,Is the adrenal cortex yellow and thickened?,yes
image2667,Is a possible precursor lesion contrasted with a normal adrenal gland?,no
image2667,Is a subtle nodularity evident?,yes
image2667,Is the b-cell antigen receptor complex evident?,no
image2667,Is microscopic view of breast carcinoma yellow and thickened?,no
image2667,Were the thickened alveolar walls diffusely hyperplastic?,no
image2667,"Was the abnormal gland from a patient with ACTH-dependent Cushing syndrome,  in whom both adrenal glands were diffusely hyperplastic?",yes
image2667,"Was subacute endocarditis from a patient with ACTH-dependent Cushing syndrome,  in whom both adrenal glands were diffusely hyperplastic?",no
image2667,Is diffuse hyperplasia of the adrenal gland contrasted with a normal adrenal gland?,yes
image2668,Is the basement membrane intact in both?,yes
image2668,Is sectioned slice of the liver intact in both?,no
image2668,Is microscopic appearance of loss of nuclear polarity b contrasted with normal basal polarity in columnar epithelium a?,yes
image2668,Is the kidney contrasted with normal basal polarity in columnar epithelium?,no
image2669,Does higher magnification show an irreversibly sickled cell in the center?,yes
image2669,Does the surrounding lung show an irreversibly sickled cell in the center?,no
image2670,"Are the histone subunits positively charged,  thus allowing the compaction of the negatively charged DNA?",yes
image2671,Is there hyperkeratosis and follicular plugging?,yes
image2671,Is the affected area on right hyperkeratosis and follicular plugging?,no
image2671,Does the basal layer show hydropic degeneration and loss of dermoepidermal junction?,yes
image2671,Does intact show hydropic degeneration and loss of dermoepidermal junction?,no
image2672,Does the trabecular bone forming the marrow space show trabeculae with osteoclastic activity at the margins?,yes
image2672,Does the upper dermis show trabeculae with osteoclastic activity at the margins?,no
image2672,"Does the cortical bone forming the outer shell show concentric lamellae along with osteocytic lacunae surrounding central blood vessels, while the trabecular bone forming the marrow space shows trabeculae with osteoclastic activity at the margins?",yes
image2672,"Does Inbox show concentric lamellae along with osteocytic lacunae surrounding central blood vessels, while the trabecular bone forming the marrow space shows trabeculae with osteoclastic activity at the margins?",no
image2673,"Is the liver small (700 g),  bile-stained,  soft,  and congested?",yes
image2673,"Is endoscopy small (700 g),  bile-stained,  soft,  and congested?",no
image2674,Are these cells also enlarged with irregular outlines?,no
image2674,Are nuclei also enlarged with irregular outlines?,yes
image2674,What are also enlarged with irregular outlines?,nuclei
image2674,Are the myocardial muscle fibres thick with abundance of eosinophilic cytoplasm?,yes
image2675,Is there endarteritis and periarteritis of the vasa vasorum in the media and adventitia?,yes
image2675,"Is there perivascular infiltrate of plasma cells, lymphocytes and macrophages?",yes
image2675,Is thalassaemia and hbd endarteritis and periarteritis of the vasa vasorum in the media and adventitia?,no
image2675,"Is section from margin of amoebic ulcer perivascular infiltrate of plasma cells, lymphocytes and macrophages?",no
image2676,Is Stanford type B limited to descending aorta?,yes
image2676,Is mucicarmine limited to descending aorta?,no
image2676,Does Stanford type A involving ascending aorta include includes DeBakey 's type I and II?,yes
image2676,Does esions include includes DeBakey 's type I and II?,no
image2677,Are hundreds of small colonic polyps present along with a dominant polyp (right)?,yes
image2677,Are immature myeloid cells present along with a dominant polyp (right)?,no
image2678,Is the left ventricle shown on the right in this four-chamber view?,yes
image2678,Is periodic acid-schiff shown on the right in this four-chamber view?,no
image2678,Is granulomatous host response prominent hooding with prolapse of the posterior mitral leaflet into the left atrium?,no
image2678,Is there prominent hooding with prolapse of the posterior mitral leaflet into the left atrium?,yes
image2678,"Is the surrounding lung dilated,  reflecting long-standing valvular insufficiency and volume overload?",no
image2678,"Is the atrium dilated,  reflecting long-standing valvular insufficiency and volume overload?",yes
image2679,Does the corresponding area show segment of thickened wall with narrow lumen which is better appreciated in cross section while intervening areas of the bowel are uninvolved or skipped?,no
image2679,Is the specimen of small intestine shown in longitudinal section along with a segment in cross section?,yes
image2679,"Does aboratory findings of itp show increased mesenteric fat, thickened wall and narrow lumen?",no
image2679,"Does external surface show increased mesenteric fat, thickened wall and narrow lumen?",yes
image2679,Is aboratory findings of itp shown in longitudinal section along with a segment in cross section?,no
image2679,Does luminal surface of longitudinal cut section show segment of thickened wall with narrow lumen which is better appreciated in cross section while intervening areas of the bowel are uninvolved or skipped?,yes
image2680,"There is wiping out of liver lobules with only collapsed reticulin framework left out in whose place , high lighted by reticulin stain right photomicrograph ?",their
image2680,"Is there wiping out of liver lobules with only collapsed reticulin framework left out in their place, high lighted by reticulin stain right photomicrograph?",yes
image2680,Is there no significant inflammation or fibrosis?,yes
image2680,Is the cut surface no significant inflammation or fibrosis?,no
image2680,"Reticulin framework left out in whose place , high lighted by reticulin stain ?",their
image2680,"Is an asbestos body wiping out of liver lobules with only collapsed reticulin framework left out in their place, high lighted by reticulin stain right photomicrograph?",no
image2681,Is the wound around one another with regularly spaced binding of the congo red not seen in this section?,no
image2681,"Does the injurious stimulus show failure of normal differentiation,  marked nuclear and cellular pleomorphism,  and numerous mitotic figures extending toward the surface?",no
image2681,"Does the high-power view show failure of normal differentiation,  marked nuclear and cellular pleomorphism,  and numerous mitotic figures extending toward the surface?",yes
image2681,Is the intact basement membrane not seen in this section?,yes
